,airline_sentiment,airline,name,text,date
504,positive,United,rdowning76,@united thanks,2015-02-24
505,positive,United,CoreyAStewart,@united Thanks for taking care of that MR!! Happy customer.,2015-02-24
506,negative,United,CoralReefer420,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,2015-02-24
507,negative,United,lsalazarll,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,2015-02-24
508,positive,United,rombaa,@united thanks -- we filled it out. How's our luck with this? Is it common?,2015-02-24
509,negative,United,samidip,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),2015-02-24
510,neutral,United,karenmcgregor86,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,2015-02-24
511,negative,United,andycheco,@united you think you boarded flight AU1066 too early? I think so.,2015-02-24
512,neutral,United,hmansfield,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",2015-02-24
513,negative,United,slandail,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock.",2015-02-24
514,neutral,United,karenmcgregor86,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,2015-02-24
515,positive,United,nydia376,@united thanks,2015-02-24
516,positive,United,BK_TheBri,@united Thanks. It is on the same ticket.,2015-02-24
517,neutral,United,LarkAfterDark,@united why not? Is it a law or a policy?,2015-02-24
518,negative,United,Ashley_Jeffris,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,2015-02-24
519,negative,United,CheerTymeDad,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,2015-02-24
520,negative,United,Nikki62878,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!",2015-02-24
521,positive,United,JordanTapiia,@united follow me please this airline is beautifull ♥,2015-02-24
522,neutral,United,nydia376,"@united no I don't, but I'm sure United have my info on its system.",2015-02-24
523,negative,United,Nikki62878,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",2015-02-24
524,neutral,United,rissels,@united Just submitted my response on the link you sent.,2015-02-24
525,neutral,United,nydia376,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",2015-02-24
526,negative,United,WorstThingsBot,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united,2015-02-24
527,positive,United,Anntasia,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,2015-02-24
528,neutral,United,nydia376,"@united yes, a paper voucher that I got on January 26th 2015",2015-02-24
529,negative,United,nydia376,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting,2015-02-24
530,negative,United,nate2482,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",2015-02-24
531,neutral,United,akobilarov,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",2015-02-24
532,neutral,United,andreaSanger,@united and what am I suppose to do with that number?,2015-02-24
533,negative,United,Guggero,"@united thats weak. See ya 👋
Hey @VirginAmerica !!",2015-02-24
534,negative,United,nydia376,@united I flew back w other company since United didnt have an earlier flight,2015-02-24
535,neutral,United,nydia376,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,2015-02-24
536,negative,United,runwithmiles,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab,2015-02-24
537,negative,United,nate2482,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.,2015-02-24
538,neutral,United,CheerTymeDad,@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .,2015-02-24
539,negative,United,BocheBillions,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",2015-02-24
540,negative,United,CoachJoette,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled,2015-02-24
541,negative,United,lotusfitness,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy,2015-02-24
542,negative,United,megfalcone,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but...",2015-02-24
543,negative,United,nydia376,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice,2015-02-24
544,negative,United,OohLaLa09,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB",2015-02-24
545,negative,United,OohLaLa09,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice.",2015-02-24
546,neutral,United,cehertz,@united that's right- with an overnight Miami.,2015-02-24
547,neutral,United,BK_TheBri,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?,2015-02-24
548,neutral,United,Nikki62878,"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",2015-02-24
549,neutral,United,Guggero,@united i DMed you the details,2015-02-24
550,negative,United,fitztango,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer",2015-02-24
551,neutral,United,F_U_ng,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",2015-02-24
552,positive,United,mattwbaker,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer.",2015-02-24
553,negative,United,collegepathSS,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad,2015-02-24
554,negative,United,kevintgarner,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient,2015-02-24
555,negative,United,Nikki62878,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child,2015-02-24
556,neutral,United,discobiscuit63,@united thanks again for your concern. I will contact customer care upon our return from Australia.,2015-02-24
557,negative,United,kevinfla3,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,2015-02-24
